city,N,dist,improver,strategy,cf,sl_var,acceptance,constructor,overflows,kg,ncol,kg_lost,km,kgkm,reward,profit,time,days
Rio Maior,170,Empirical,CLS,SL,,SL1,bmc,PSOMA,5.0,13446.775,1301.0,11.400000000000002,3106.055,4.329213423458374,10335.72,4742.827567500001,1221.5807270930018,20
Rio Maior,170,Empirical,CLS,SL,,SL1,new,SANS,5.0,14046.7,2400.0,9.975000000000001,4064.201,3.4562020923669867,9977.499,4134.85779,1222.014135346999,20
Rio Maior,170,Empirical,CLS,SL,,SL1,gurobi,SWC-TCF,4.0,13643.9,1526.0,1.425,3364.197,4.055618621620553,10275.703,4599.74743,1103.143974773997,18
Rio Maior,170,Empirical,CLS,SL,,SL2,custom,ACO_HH,3.0,13869.050000000001,1950.0,5.2250000000000005,4458.520000000001,3.11068471151862,9407.529999999999,3636.8444849999996,609.9195647819979,30
Rio Maior,170,Empirical,CLS,SL,,SL2,custom_bmc,ALNS,3.0,14006.8,1978.0,0.0,4530.925,3.091377588461517,9472.875,3644.8441599999996,1814.280568708,30
Rio Maior,170,Empirical,CLS,SL,,SL2,custom,BPC,3.0,13934.125000000002,1913.0,5.2250000000000005,4389.084999999999,3.174722066216536,9542.040000000003,3744.2637625,1002.1103711310025,30
Rio Maior,170,Empirical,CLS,SL,,SL2,custom_oi,HGS,4.0,14007.75,1607.0,0.0,3886.6670000000004,3.6040520065135495,10117.082999999999,4289.656675,2506.5168458059998,25
Rio Maior,170,Empirical,CLS,SL,,SL2,custom,PG-CLNS,3.0,14001.575,2122.0,5.2250000000000005,4556.774,3.0726946300167617,9441.801,3615.9453275,2412.4231721350006,30
Rio Maior,170,Empirical,CLS,SL,,SL2,bmc,PSOMA,3.0,13921.3,1539.0,5.2250000000000005,4291.343,3.2440427157652043,9626.956999999999,3834.5198100000007,1822.967968740999,30
Rio Maior,170,Empirical,CLS,SL,,SL2,new,SANS,3.0,13683.325,2643.0,5.2250000000000005,5342.387,2.5612755122382564,8337.938000000002,2644.5698024999997,1821.30195868,30
Rio Maior,170,Empirical,CLS,SL,,SL2,gurobi,SWC-TCF,3.0,14038.625,1990.0,0.0,5091.134000000001,2.7574652326966835,8944.490999999998,3103.2114125,1835.8322568540025,30
Rio Maior,170,Empirical,FTSP,SL,,SL1,custom,ACO_HH,5.0,13330.4,1488.0,12.350000000000001,3747.299,3.5573355635619146,9578.100999999999,4033.65548,405.40309616099694,20
Rio Maior,170,Empirical,FTSP,SL,,SL1,custom_bmc,ALNS,4.0,13626.8,1619.0,1.425,3980.782,3.4231465073947778,9642.018,3973.1811599999996,1198.193661575002,19
Rio Maior,170,Empirical,FTSP,SL,,SL1,custom,BPC,3.0,13926.05,1542.0,5.2250000000000005,3739.0840000000003,3.7244549734640886,10183.965999999999,4389.551385000001,674.0639461299943,20
Rio Maior,170,Empirical,FTSP,SL,,SL1,custom_oi,HGS,3.0,13622.525,1350.0,0.0,3638.0790000000006,3.7444280346853374,9981.446,4313.3888425,1777.942903852003,19
Rio Maior,170,Empirical,FTSP,SL,,SL1,custom,PG-CLNS,4.0,13616.825,1606.0,1.425,3832.6569999999997,3.552842062308211,9780.168000000001,4115.4837525,1582.8520939869995,18
Rio Maior,170,Empirical,FTSP,SL,,SL1,bmc,PSOMA,4.0,13857.175,1420.0,6.65,3803.6229999999996,3.6431515426213377,10049.552,4284.810047499999,1259.7570358090015,20
Rio Maior,170,Empirical,FTSP,SL,,SL1,new,SANS,5.0,14046.7,2401.0,9.975000000000001,4691.255,2.9942307548832883,9350.445,3507.8037900000004,1251.3677584039979,20
Rio Maior,170,Empirical,FTSP,SL,,SL1,gurobi,SWC-TCF,4.0,13643.9,1519.0,1.425,4091.532999999999,3.334666981788978,9548.367,3872.41143,1135.7158025590034,18
Rio Maior,170,Empirical,FTSP,SL,,SL2,custom,ACO_HH,3.0,13869.050000000001,1942.0,5.2250000000000005,5265.727999999998,2.633833346500238,8600.322000000004,2829.636485000001,574.0592006839943,30
Rio Maior,170,Empirical,FTSP,SL,,SL2,custom_bmc,ALNS,3.0,14001.575,2070.0,5.2250000000000005,5425.729000000002,2.5805887098305123,8572.845999999998,2746.9903274999997,1885.8310010310015,30
Rio Maior,170,Empirical,FTSP,SL,,SL2,custom,BPC,3.0,13934.125000000002,1913.0,5.2250000000000005,5172.132,2.694077606681346,8758.993000000002,2961.2167625000006,1097.2726988009963,30
Rio Maior,170,Empirical,FTSP,SL,,SL2,custom_oi,HGS,3.0,13986.85,1691.0,0.0,5294.756000000001,2.6416420322296243,8689.094,2869.368345,2607.853687759998,30
